"time","temp","feels","wind","gust","rain","humidity","cloud","pressure","vis","date"
"12:00","3 °c","0 °c","10 km/h from WSW","11 km/h","0.0 mm","67%","3%","1003 mb",Excellent,"2019-01-23"
"15:00","3 °c","0 °c","11 km/h from SW","16 km/h","0.0 mm","72%","44%","1004 mb",Excellent,"2019-01-23"
"18:00","2 °c",-1 °c,"14 km/h from SW","23 km/h","0.2 mm","82%","100%","1004 mb",Excellent,"2019-01-23"
"21:00",-1 °c,-1 °c,"14 km/h from SW","21 km/h","0.5 mm","86%","80%","1005 mb",Excellent,"2019-01-23"
"00:00","3 °c",-1 °c,"13 km/h from WSW","22 km/h","1.1 mm","91%","88%","1005 mb",Excellent,"2019-01-24"
"03:00","2 °c",-1 °c,"10 km/h from WSW","16 km/h","0.4 mm","92%","88%","1006 mb",Excellent,"2019-01-24"
"06:00","1 °c",-1 °c,"7 km/h from WSW","13 km/h","0.4 mm","92%","100%","1007 mb",Excellent,"2019-01-24"
"09:00","2 °c","1 °c","3 km/h from WSW","5 km/h","0.0 mm","91%","20%","1008 mb",Excellent,"2019-01-24"
"12:00","4 °c","4 °c","2 km/h from WSW","2 km/h","0.0 mm","83%","33%","1010 mb",Excellent,"2019-01-24"
"15:00","4 °c","4 °c","2 km/h from SW","3 km/h","0.0 mm","85%","53%","1010 mb",Excellent,"2019-01-24"
"18:00","2 °c","0 °c","6 km/h from SSW","11 km/h","0.0 mm","89%","44%","1011 mb",Excellent,"2019-01-24"
"21:00",-1 °c,-1 °c,"10 km/h from SSW","18 km/h","0.1 mm","89%","100%","1011 mb",Excellent,"2019-01-24"
"00:00","4 °c","0 °c","17 km/h from SW","28 km/h","0.6 mm","92%","100%","1009 mb",Poor,"2019-01-25"
"03:00","7 °c","3 °c","24 km/h from WSW","41 km/h","0.0 mm","95%","76%","1006 mb",Excellent,"2019-01-25"
"06:00","8 °c","5 °c","24 km/h from WSW","40 km/h","0.0 mm","92%","59%","1006 mb",Excellent,"2019-01-25"
"09:00","8 °c","5 °c","21 km/h from WSW","34 km/h","0.0 mm","91%","85%","1007 mb",Excellent,"2019-01-25"
